,rocket,success,flight_number,date_utc,flight,gridfins,legs,reused_x,landing_attempt,landing_success,landing_type,landpad,launchpad_name,launch_latitude,launch_longitude,launch_attempts,launch_successes,block,reuse_count,rtls_attempts,rtls_landings,asds_attempts,asds_landings,serial,PayloadType,PayloadMass,mass_lbs,orbit,landpad_name,landpad_type,landpad_latitude,landpad_longitude,landing_attempts,landing_successes
135,Falcon 9,True,129,2021-06-03T17:29:00.000Z,1,True,True,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,5,0,0,6,6,B1067,Dragon 2.0,3328.0,7336.984,ISS,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
136,Falcon 9,True,136,2021-11-11T02:03:00.000Z,2,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,5,0,0,6,6,B1067,Crew Dragon,12519.0,27600.0,ISS,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
137,Falcon 9,True,159,2022-04-27T07:52:00.000Z,4,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,5,0,0,6,6,B1067,Crew Dragon,,,ISS,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
138,Falcon 9,True,173,2022-07-15T00:44:00.000Z,5,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,5,0,0,6,6,B1067,Dragon 2.0,,,ISS,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
139,Falcon 9,True,147,2022-01-31T23:11:12.000Z,3,True,True,True,True,True,RTLS,5e9e3032383ecb267a34e7c7,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,6,3,3,4,4,B1052,Satellite,2240.0,4938.0,SSO,LZ-1,RTLS,28.485833,-80.544444,21.0,20.0
140,Falcon 9,True,153,2022-03-09T13:45:00.000Z,4,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,6,3,3,4,4,B1052,Satellite,13260.0,29233.0,VLEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
141,Falcon 9,True,177,2022-08-04T23:08:00.000Z,6,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,6,3,3,4,4,B1052,Satellite,678.0,1495.0,TLI,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
142,Falcon 9,True,164,2022-05-18T10:40:00.000Z,5,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,6,3,3,4,4,B1052,Satellite,13260.0,29233.0,VLEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
143,Falcon 9,True,163,2022-05-14T20:40:00.000Z,1,True,True,False,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,2,0,0,3,3,B1073,Satellite,13260.0,29233.0,VLEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
144,Falcon 9,True,170,2022-06-29T21:04:00.000Z,2,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,2,0,0,3,3,B1073,Satellite,3500.0,7716.179,MEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
145,Falcon 9,True,178,2022-08-09T22:57:00.000Z,3,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,2,0,0,3,3,B1073,Satellite,13260.0,29233.0,VLEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
146,Falcon 9,True,11,2013-09-29T16:00:00.000Z,1,False,False,False,True,False,Ocean,,VAFB SLC 4E,34.632093,-120.610829,28,27,1.0,0,0,0,0,0,B1003,Satellite,500.0,1100.0,PO,,,,,,
147,Falcon 9,True,26,2016-01-17T15:42:00.000Z,1,True,True,False,True,False,ASDS,5e9e3033383ecbb9e534e7cc,VAFB SLC 4E,34.632093,-120.610829,28,27,1.0,0,0,0,0,0,B1017,Satellite,553.0,1219.0,PO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
148,Falcon 9,True,35,2017-01-14T17:54:00.000Z,1,True,True,False,True,True,ASDS,5e9e3033383ecbb9e534e7cc,VAFB SLC 4E,34.632093,-120.610829,28,27,3.0,1,0,0,2,2,B1029,Satellite,9600.0,21200.0,PO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
149,Falcon 9,True,42,2017-06-23T19:10:00.000Z,2,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,KSC LC 39A,28.6080585,-80.6039558,54,54,3.0,1,0,0,2,2,B1029,Satellite,3669.0,8089.0,GTO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
150,Falcon 9,True,43,2017-06-25T20:25:00.000Z,1,True,True,False,True,True,ASDS,5e9e3033383ecbb9e534e7cc,VAFB SLC 4E,34.632093,-120.610829,28,27,3.0,1,0,0,1,1,B1036,Satellite,9600.0,21164.0,PO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
151,Falcon 9,True,52,2017-12-23T01:27:23.000Z,2,True,False,True,True,True,Ocean,,VAFB SLC 4E,34.632093,-120.610829,28,27,3.0,1,0,0,1,1,B1036,Satellite,9600.0,21164.38,PO,,,,,,
